model,split,threshold,rows,positive_rate_pct,predicted_positive_rate_pct,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,false_alarms_per_day,tp,fp,tn,fn
rule_sensor_quality,test,1.0,1291,0.0,0.3873,0.9961270333075135,,0.0,0.0,0.0,,,1.1162790697674418,0,5,1286,0
isolation_forest,test,0.30353743680511147,1291,0.0,8.5205,0.9147947327652982,,0.0,0.0,0.0,,,24.55813953488372,0,110,1181,0
local_outlier_factor,test,0.10966120365165391,1291,0.0,30.3641,0.6963594113090628,,0.0,0.0,0.0,,,87.51627906976744,0,392,899,0
one_class_svm,test,0.980503151220664,1291,0.0,0.0,1.0,,0.0,0.0,0.0,,,0.0,0,0,1291,0
rule_sensor_quality,validation,1.0,1291,0.5422,0.9295,0.9961270333075135,0.9980529595015577,0.5833333333333334,1.0,0.7368421052631579,0.9980529595015577,0.5833333333333334,1.1162790697674418,7,5,1279,0
one_class_svm,validation,0.980503151220664,1291,0.5422,1.3943,0.9914794732765299,0.9957165109034267,0.3888888888888889,1.0,0.56,0.9914330218068536,0.25320884764162077,2.455813953488372,7,11,1273,0
isolation_forest,validation,0.30353743680511147,1291,0.5422,10.2246,0.9031758326878389,0.9513239875389408,0.05303030303030303,1.0,0.10071942446043165,0.9147752558967512,0.03379243803295057,27.906976744186046,7,125,1159,0
local_outlier_factor,validation,0.10966120365165391,1291,0.5422,29.8218,0.7056545313710302,0.780985758789497,0.015584415584415584,0.8571428571428571,0.030612244897959183,0.7812639074321317,0.01453078550613713,84.61395348837209,6,379,905,1
