feature,importance,importance_std,importance_type,model
dissolved_oxygen_mg_l_rt_rolling_30min_max__imputed,6.80849725615662e-05,4.276410990326022e-05,permutation_average_precision,hist_gradient_boosting
orp_mv_rt_rolling_60min_max__imputed,6.75304614039085e-05,7.125638547413514e-05,permutation_average_precision,hist_gradient_boosting
orp_mv_rt_rolling_60min_mean__imputed,6.159950720392437e-05,1.3599891200843926e-05,permutation_average_precision,hist_gradient_boosting
turbidity_ntu_rt_rolling_120min_median__imputed,6.159950720392437e-05,1.3599891200843926e-05,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_rolling_15min_min__imputed,6.159950720392437e-05,1.3599891200843926e-05,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_60min_std__imputed,5.479956160350241e-05,1.66563969997172e-05,permutation_average_precision,hist_gradient_boosting
cod_mg_l_rt_rolling_30min_slope__imputed,5.472094951564088e-05,2.7062318290321772e-05,permutation_average_precision,hist_gradient_boosting
ph_rt_rolling_15min_min__imputed,5.472094951564088e-05,2.7062318290321772e-05,permutation_average_precision,hist_gradient_boosting
cod_mg_l_rt_rolling_120min_std__imputed,5.448233870772867e-05,4.614619415147913e-05,permutation_average_precision,hist_gradient_boosting
ammonia_mg_l_rt_rolling_15min_min__imputed,4.7999616003080446e-05,1.66563969997172e-05,permutation_average_precision,hist_gradient_boosting
ph_rt_rolling_60min_max__imputed,4.7999616003080446e-05,1.66563969997172e-05,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_rolling_60min_median__imputed,4.7999616003080446e-05,1.66563969997172e-05,permutation_average_precision,hist_gradient_boosting
flow_rate_lps_rt_rolling_15min_std__imputed,4.7921003915218916e-05,2.7042558225964798e-05,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_120min_mean__imputed,4.7919616643055106e-05,2.7339891009968542e-05,permutation_average_precision,hist_gradient_boosting
ph_rt_rolling_60min_median__imputed,4.1199670402658486e-05,1.3599891200843926e-05,permutation_average_precision,hist_gradient_boosting
uv254_abs_rt_lag_15min__imputed,4.1199670402658486e-05,1.3599891200843926e-05,permutation_average_precision,hist_gradient_boosting
ph_rt_rolling_15min_mean__imputed,4.1119671042633146e-05,2.5571529823361778e-05,permutation_average_precision,hist_gradient_boosting
ammonia_mg_l_rt_rolling_30min_std__imputed,4.1041058954771616e-05,3.3266888015324824e-05,permutation_average_precision,hist_gradient_boosting
ammonia_mg_l_rt_rolling_120min_std__imputed,4.1039671682607806e-05,3.3508751611245686e-05,permutation_average_precision,hist_gradient_boosting
orp_mv_rt_rolling_15min_max__imputed,4.0961059594746275e-05,3.9693910835640825e-05,permutation_average_precision,hist_gradient_boosting
turbidity_ntu_rt_rolling_120min_range__imputed,3.431972544221118e-05,2.1630028068400812e-05,permutation_average_precision,hist_gradient_boosting
tss_mg_l_rt_rolling_60min_median__imputed,3.431972544221118e-05,2.1630028068400812e-05,permutation_average_precision,hist_gradient_boosting
uv254_abs_rt_lag_5min__imputed,3.423972608218584e-05,3.058926982921307e-05,permutation_average_precision,hist_gradient_boosting
orp_mv_rt_lag_60min__imputed,3.416111399432431e-05,3.724787827146749e-05,permutation_average_precision,hist_gradient_boosting
